DATE,PREDICTED_CLOSE
2020-10-10 00:00:00,175.71
2020-10-11 00:00:00,174.03
2020-10-12 00:00:00,173.3
2020-10-13 00:00:00,171.71
2020-10-14 00:00:00,173.06
2020-10-15 00:00:00,174.99
2020-10-16 00:00:00,174.69
2020-10-17 00:00:00,174.48
2020-10-18 00:00:00,176.29
2020-10-19 00:00:00,173.64
2020-10-20 00:00:00,176.36
2020-10-21 00:00:00,175.8
2020-10-22 00:00:00,177.19
2020-10-23 00:00:00,176.21
2020-10-24 00:00:00,177.69
2020-10-25 00:00:00,178.84
2020-10-26 00:00:00,179.25
2020-10-27 00:00:00,178.02
2020-10-28 00:00:00,179.11
2020-10-29 00:00:00,177.64
2020-10-30 00:00:00,179.33
2020-10-31 00:00:00,177.76
2020-11-01 00:00:00,172.69
2020-11-02 00:00:00,171.06
2020-11-03 00:00:00,173.12
2020-11-04 00:00:00,173.02
2020-11-05 00:00:00,173.12
2020-11-06 00:00:00,172.47
2020-11-07 00:00:00,172.08
2020-11-08 00:00:00,171.93
2020-11-09 00:00:00,172.62
2020-11-10 00:00:00,175.23
2020-11-11 00:00:00,175.46
2020-11-12 00:00:00,169.08
2020-11-13 00:00:00,168.59
2020-11-14 00:00:00,168.14
2020-11-15 00:00:00,170.15
2020-11-16 00:00:00,177.27
2020-11-17 00:00:00,177.03
2020-11-18 00:00:00,179.25
2020-11-19 00:00:00,178.64
2020-11-20 00:00:00,182.88
2020-11-21 00:00:00,181.31
2020-11-22 00:00:00,180.16
2020-11-23 00:00:00,183.1
2020-11-24 00:00:00,183
2020-11-25 00:00:00,178.26
2020-11-26 00:00:00,177.88
2020-11-27 00:00:00,179.17
2020-11-28 00:00:00,176.74
